14537,Corpselight Greaves,inv_boots_plate_09
14539,Bone Ring Helm,inv_helmet_14
14536,Bonebrace Hauberk,inv_chest_chain_14
14540,Taragaman the Hungerer's Heart,inv_misc_organ_01
14538,Deadwalker Mantle,inv_shoulder_02
14541,Barovian Family Sword,inv_sword_03
14545,Ghostloom Leggings,inv_pants_11
14542,Kravel's Crate,inv_crate_01
14543,Darkshade Gloves,inv_gauntlets_15
14544,Lieutenant's Insignia,inv_misc_rune_04
14548,Royal Cap Spaulders,inv_shoulder_11
14546,Roon's Kodo Horn,inv_misc_bone_04
14547,Hand of Iruxos,inv_gauntlets_03
14550,Bladebane Armguards,inv_bracer_09
14553,Sash of Mercy,inv_belt_09
14552,Stockade Pauldrons,inv_shoulder_20
14551,Edgemaster's Handguards,inv_gauntlets_30
14554,Cloudkeeper Legplates,inv_pants_04
14555,Alcor's Sunrazor,inv_sword_34
14557,The Lion Horn of Stormwind,inv_misc_horn_03
14558,Lady Maye's Pendant,inv_jewelry_necklace_08
14559,Prospector's Sash,inv_belt_26
14560,Prospector's Boots,inv_boots_05
14561,Prospector's Cuffs,inv_bracer_07
14563,Prospector's Cloak,inv_misc_cape_11
14564,Prospector's Mitts,inv_gauntlets_18
14565,Prospector's Woolies,inv_pants_02
14549,Boots of Avoidance,inv_boots_plate_05
14562,Prospector's Chestpiece,inv_chest_leather_09
14566,Prospector's Pads,inv_shoulder_08
14568,Bristlebark Boots,inv_boots_08
14567,Bristlebark Belt,inv_belt_03
14571,Bristlebark Cape,inv_misc_cape_09
14572,Bristlebark Gloves,inv_gauntlets_21
14573,Bristlebark Amice,inv_shoulder_06
14574,Bristlebark Britches,inv_pants_07
14576,Ebon Hilt of Marduk,inv_sword_15
14569,Bristlebark Bindings,inv_bracer_08
14570,Bristlebark Blouse,inv_chest_leather_08
14577,Skullsmoke Pants,inv_pants_08
14578,Dokebi Cord,inv_belt_11
14580,Dokebi Bracers,inv_bracer_13
14581,Dokebi Chestguard,inv_chest_leather_01
14583,Dokebi Gloves,inv_gauntlets_24
14582,Dokebi Cape,inv_misc_cape_10
14584,Dokebi Hat,inv_helmet_15
14585,Dokebi Leggings,inv_pants_06
14579,Dokebi Boots,inv_boots_09
14588,Hawkeye's Cord,inv_belt_09
14587,Dokebi Mantle,inv_shoulder_08
14589,Hawkeye's Shoes,inv_boots_07
14590,Hawkeye's Bracers,inv_bracer_04
14593,Hawkeye's Cloak,inv_misc_cape_03
14591,Hawkeye's Helm,inv_helmet_15
14592,Hawkeye's Tunic,inv_chest_leather_06
14594,Hawkeye's Gloves,inv_gauntlets_21
14596,Hawkeye's Epaulets,inv_shoulder_07
14595,Hawkeye's Breeches,inv_pants_09
14598,Warden's Waistband,inv_belt_15
14599,Warden's Footpads,inv_boots_08
14600,Warden's Wristbands,inv_bracer_09
14601,Warden's Wraps,inv_chest_leather_04
14602,Warden's Cloak,inv_misc_cape_22
14603,Warden's Mantle,inv_shoulder_25
14604,Warden's Wizard Hat,inv_helmet_13
14606,Warden's Gloves,inv_gauntlets_05
14608,Dokebi Buckler,inv_shield_09
14607,Hawkeye's Buckler,inv_shield_10
14610,Araj's Scarab,spell_shadow_grimward
14612,Bloodmail Legguards,inv_pants_06
14613,Taelan's Hammer,inv_hammer_01
14611,Bloodmail Hauberk,inv_chest_leather_05
14605,Warden's Woolies,inv_pants_06
14614,Bloodmail Belt,inv_belt_23
14616,Bloodmail Boots,inv_boots_01
14617,Sawbones Shirt,inv_shirt_red_01
14620,Deathbone Girdle,inv_belt_12
14619,Skeletal Fragments,inv_misc_bone_07
14621,Deathbone Sabatons,inv_boots_01
14615,Bloodmail Gauntlets,inv_gauntlets_26
14622,Deathbone Gauntlets,inv_gauntlets_28
14623,Deathbone Legguards,inv_pants_04
14624,Deathbone Chestplate,inv_chest_chain_15
14625,Symbol of Lost Honor,inv_banner_02
14626,Necropile Robe,inv_chest_cloth_43
14627,Pattern: Bright Yellow Shirt,inv_scroll_03
14628,Imbued Skeletal Fragments,spell_nature_slowingtotem
14629,Necropile Cuffs,inv_bracer_07
14630,Pattern: Enchanter's Cowl,inv_scroll_03
14631,Necropile Boots,inv_boots_05
14632,Necropile Leggings,inv_pants_08
14633,Necropile Mantle,inv_shoulder_02
14634,Recipe: Frost Oil,inv_scroll_06
14635,Pattern: Gem-Studded Leather Belt,inv_scroll_03
14638,Cadaverous Leggings,inv_pants_07
14636,Cadaverous Belt,inv_belt_16
